Timeframe,Week of, 2019 counts (31 counters), 2020 counts (31 counters),2021 Counts,Change 2019-2020,,,,
Week 1,12/30/2019,167679,183546,,0.09,1.094627234,,,
Week 2,1/6/2020,82340,97140,,0.18,117.9742531,,,
Week 3,1/13/2020,62315,75782,,0.22,121.6111691,,,
Week 4,1/20/2020,75801,83809,,0.11,110.5645044,,,
Week 5,1/27/2020,75841,94738,,0.25,124.9166018,,,
Week 6,2/3/2020,79780,153555,,0.92,192.4730509,,,
Week 7,2/10/2020,65732,130351,,0.98,198.3067608,,,
Week 8,2/17/2020,69492,149876,,1.16,215.6737466,,,
Week 9,2/24/2020,85688,141250,,0.65,164.8422183,,,
Week 10,3/2/2020,84512,167528,,0.98,198.2298372,,,
Week 11,3/9/2020,107995,210182,,0.95,194.6219732,,,
Week 12,3/16/2020,125440,367795,,1.93,293.2039222,,,
Week 13,3/23/2020,136330,372783,,1.73,273.4416489,,,
Week 14,3/30/2020,118784,280728,,1.36,236.3348599,,,
Week 15,4/6/2020,132033,419160,,2.17,317.466088,,,
Week 16,4/13/2020,133267,241810,,0.81,181.4477703,,,
Week 17,4/20/2020,165777,231184,,0.39,139.4548098,,,
Week 18,4/27/2020,166356,276982,,0.66,166.4995552,,,
Week 19,5/4/2020,171049,244058,,0.43,142.6830908,,,
Week 20,5/11/2020,178534,281348,,0.58,157.5879104,,,
Week 21,5/18/2020,191319,255226,,0.33,133.4033734,,,
Week 22,5/25/2020,240507,299567,,0.25,124.5564578,,,
Week 23,6/1/2020,211380,278800,,0.32,131.8951651,,,
Week 24,6/8/2020,214729,296335,,0.38,138.004182,,,
Week 25,6/15/2020,202847,255112,,0.26,125.7657249,,,
Week 26,6/22/2020,202445,256615,,0.27,126.7578849,,,
Week 27,6/29/2020,184658,236287,,0.28,127.9592544,,,
Week 28,7/6/2020,185302,244342,,0.32,131.8615018,,,
Week 29,7/13/2020,166125,250590,,0.51,150.8442438,,,
Week 30,7/20/2020,208809,223757,,0.07,107.1586953,,,
Week 31,7/27/2020,197005,238673,,0.21,121.1507322,,,
Week 32,8/3/2020,180605,239827,,0.33,132.7908973,,,
Week 33,8/10/2020,191450,219279,,0.15,114.5359102,,,
Week 34,8/17/2020,168754,241007,,0.43,142.8155777,,,
Week 35,8/24/2020,176624,273677,,0.55,154.9489311,,,
Week 36,8/31/2020,184806,227918,,0.23,123.3282469,,,
Week 37,9/7/2020,157345,207670,,0.32,131.9838571,,,
Week 38,9/14/2020,152527,207320,,0.36,135.9234758,,,
Week 39,9/21/2020,141072,207918,,0.47,147.3843144,,,
Week 40,9/28/2020,135881,186004,,0.37,136.8874236,,,
Week 41,10/5/2020,132239,182924,,0.38,138.3283298,,,
Week 42,10/12/2020,110816,159246,,0.44,143.7030754,,,
Week 43,10/19/2020,110761,141404,,0.28,127.6658752,,,
Week 44,10/26/2020,109795,147907,,0.35,134.7119632,,,
Week 45,11/2/2020,109766,154502,,0.41,140.7557896,,,
Week 46,11/9/2020,86824,155805,,0.79,179.4492306,,,
Week 47,11/16/2020,88122,97835,,0.11,111.0222192,,,
Week 48,11/23/2020,72380,101036,,0.40,139.5910473,,,
Week 49,11/30/2020,81871,84123,,0.03,102.7506687,,,
Week 50,12/7/2020,68364,92126,,0.35,134.7580598,,,
Week 51,12/14/2020,58063,73188,,0.26,126.0492913,,,
Week 52,12/21/2020,71890,69962,,-0.03,97.31812491,,2673%,0.514015531